id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2017-817031,2017-03-03,2,Vente,1500.0,,,CANTON DEL CAUCHIE,B009,59530.0,59194,Englefontaine,59,,,591940000A2126,,,,,,,,,,,,,0,,,,,J,jardins,,,123.0,3.647285,50.195506
2016-82463,2016-12-23,1,Vente,87000.0,,,BORDE BASSE ET LANCIRE,B006,9350.0,9105,Daumazan-sur-Arize,9,,,091050000B1076,,,,,,,,,,,,,0,,,,,L,landes,,,24775.0,1.30707,43.132565
2016-338343,2016-05-17,1,Vente,174000.0,24.0,,IMP REFRACTAIRES ET MAQUISARDS,7359,31100.0,31555,Toulouse,31,,,31555841AY0948,,,2015.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,1.367258,43.566219
2017-1188069,2017-07-26,1,Vente,283450.0,11.0,A,CHE MOULIN NOTRE DAME,4100,84000.0,84007,Avignon,84,,,84007000IW1077,,,,,,,,,,,,,0,1.0,Maison,83.0,4.0,S,sols,,,133.0,4.811207,43.935308
2017-449792,2017-04-25,1,Vente,2929.0,,,LA TUILLIERE,B160,33590.0,33541,Vensac,33,,,33541000ZV0049,,,,,,,,,,,,,0,,,,,B,bois,,,21963.0,-1.064754,45.397412
2016-684185,2016-06-14,1,Vente,400000.0,,,LES GRANDS CHAMPS DE L ETA,B068,58250.0,58290,Thaix,58,,,582900000A0199,,,,,,,,,,,,,0,,,,,P,prés,,,251.0,3.709472,46.851297
2016-397119,2016-11-25,1,Vente,132000.0,34.0,,RUE ARMAND CADUC,0120,33190.0,33352,La Réole,33,,,33352000AO0747,,,,,,,,,,,,,0,2.0,Appartement,40.0,2.0,S,sols,,,161.0,-0.038233,44.581752
2017-777496,2017-04-21,1,Vente,500.0,,,LE NIRET,B418,58370.0,58309,Villapourçon,58,,,583090000E0914,,,,,,,,,,,,,0,,,,,L,landes,PACAG,Pacage,1725.0,3.908507,46.909219
2017-957094,2017-03-31,1,Vente,624000.0,20.0,,RUE DES FRAISIERS,0274,69630.0,69043,Chaponost,69,,,69043000AE0366,,,,,,,,,,,,,0,1.0,Maison,184.0,6.0,T,terres,,,1031.0,4.757281,45.715229
2017-1073211,2017-07-19,1,Vente,218000.0,4.0,,RUE DE BLUTEAU,0014,77145.0,77283,May-en-Multien,77,,,772830000C2551,,,,,,,,,,,,,0,1.0,Maison,87.0,5.0,J,jardins,POTAG,Jardin potager,368.0,3.020564,49.071168
2016-586322,2016-04-29,1,Vente,137000.0,4.0,,RUE DES TOURTERELLES,1685,45500.0,45155,Gien,45,,,45155000AE0075,,,,,,,,,,,,,0,1.0,Maison,81.0,4.0,S,sols,,,407.0,2.620087,47.700594
2016-1227438,2016-02-23,1,Vente en l'état futur d'achèvement,249000.0,7.0,,CHE DES FLAMBOYANTS   (ST G H),0616,97435.0,97415,Saint-Paul,974,,,97415000CT0199,,,69.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,55.25565,-21.043942
2017-1186771,2017-04-27,1,Vente,1138131.0,2.0,,RUE DES ERABLES,0165,84130.0,84092,Le Pontet,84,,,84092000AN0169,,,142.0,,,,,,,,,,1,2.0,Appartement,84.0,4.0,,,,,,4.861112,43.954407
2016-1215700,2016-12-21,1,Vente,207100.0,44.0,,RUE DES LILAS,0620,95150.0,95607,Taverny,95,,,95607000BI0525,,,45.0,75.58,,,,,,,,,1,2.0,Appartement,78.0,4.0,,,,,,2.210719,49.010577
2016-171784,2016-11-21,1,Vente,680000.0,,,FIEF DES THOUARS,B026,16130.0,16151,Genté,16,,,16151000ZL0145,,,,,,,,,,,,,0,,,,,T,terres,,,11380.0,-0.31837,45.625996
2017-109476,2017-09-28,1,Vente,68600.0,127.0,I,RES LES SENILLADES,A111,11560.0,11145,Fleury,11,,,11145000BP0073,,,127.0,25.82,,,,,,,,,1,2.0,Appartement,25.0,2.0,,,,,,3.195373,43.184477
2017-768210,2017-12-14,1,Vente en l'état futur d'achèvement,383000.0,,,,,,56121,Lorient,56,,,56121000BR0131,,,29,,,,,,,,,,1,,,,,,,,,,-3.35957,47.745893
2016-413707,2016-03-11,1,Vente,30000.0,,,LES COMBES,B030,34520.0,34277,Saint-Maurice-Navacelles,34,,,34277000AR0006,,,,,,,,,,,,,0,,,,,L,landes,PATUR,Pâture plantée,640.0,3.514784,43.837557
2017-1132448,2017-12-14,1,Vente,210000.0,150.0,,RUE LUCIEN LECOINTE,5250,80080.0,80021,Amiens,80,,,80021000CI0125,,,,,,,,,,,,,0,1.0,Maison,55.0,3.0,J,jardins,,,1260.0,2.310621,49.906486
2017-1268171,2017-05-23,24,Expropriation,3634104.0,3.0,,RUE DU CANAL,0260,91160.0,91345,Longjumeau,91,,,91345000AD0172,,,,,,,,,,,,,0,2.0,Appartement,67.0,3.0,S,sols,,,11812.0,2.290222,48.696345
2016-242826,2016-09-30,1,Vente,81000.0,,,PONTOU BAS,B107,24200.0,24366,Saint-André-d'Allas,24,,,243660000C0659,,,,,,,,,,,,,0,,,,,T,terres,,,3820.0,1.167742,44.864714
2017-791585,2017-01-31,1,Vente,100000.0,6.0,,RUE PAUL DUBUS,0220,59235.0,59071,Bersée,59,,,590710000C1041,,,,,,,,,,,,,0,1.0,Maison,55.0,3.0,S,sols,,,327.0,3.14238,50.479921
2017-416418,2017-03-21,1,Vente,105000.0,75.0,,RUE BOURGES,0380,33400.0,33522,Talence,33,,,33522000AM0312,,,204.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,-0.583494,44.812585
2017-262549,2017-06-02,1,Vente,12000.0,,,LES PRES DE LAVAURIE,B109,24270.0,24464,Saint-Mesmin,24,,,24464000AT0197,,,,,,,,,,,,,0,,,,,P,prés,,,7320.0,1.243627,45.335384
2017-1036535,2017-06-21,1,Vente en l'état futur d'achèvement,49000.0,29.0,,AV JULES FERRY,0900,74200.0,74281,Thonon-les-Bains,74,,,742810000U0284,,,649.0,,,,,,,,,,1,,,,,,,,,,,
2016-1117972,2016-06-22,1,Adjudication,211000.0,45.0,,AV DE LA REPUBLIQUE,3450,91230.0,91421,Montgeron,91,,,91421000AB0118,,,,,,,,,,,,,0,2.0,Appartement,66.0,4.0,S,sols,,,109.0,2.454841,48.707469
2017-699345,2017-02-22,1,Vente,72000.0,35.0,,RUE DE L HOMMEAU,1824,49500.0,49331,Segré-en-Anjou Bleu,49,,,49331305AB0060,,,,,,,,,,,,,0,1.0,Maison,120.0,5.0,S,sols,,,445.0,-0.742169,47.706762
2017-745130,2017-03-01,1,Vente,207500.0,,,RUE PAUL LANGEVIN,0212,54880.0,54521,Thil,54,,,54521000AB0801,,,,,,,,,,,,,0,,,,,S,sols,,,148.0,5.90273,49.471873
2017-474461,2017-11-09,1,Vente,420000.0,9.0,,PL DE LA POSTE,0042,34830.0,34120,Jacou,34,,,34120000AO0552,,,,,,,,,,,,,0,,,,,S,sols,,,85.0,3.912081,43.661042
2016-1176994,2016-03-31,1,Vente,1280000.0,38.0,,RUE BERNARD GANTE,0633,93250.0,93077,Villemomble,93,,,930770000H0145,,,,,,,,,,,,,0,2.0,Appartement,48.0,3.0,S,sols,,,658.0,2.50761,48.889806
2017-518106,2017-05-30,1,Vente,70000.0,22.0,,RUE DIEUDONNE COSTE,0964,36000.0,36044,Châteauroux,36,,,36044000AW0435,,,,,,,,,,,,,0,1.0,Maison,82.0,4.0,S,sols,,,323.0,1.718007,46.819796
2016-1011012,2016-04-20,1,Vente,32478.36,,,BOSC DEL VERT,B147,81230.0,81124,Lacaune,81,,,811240000F0600,,,,,,,,,,,,,0,,,,,L,landes,ROC,Rocs ou rochers,18443.0,2.653037,43.682773
2017-670939,2017-08-21,1,Vente,100000.0,,,LA GARDE,B081,46800.0,46263,Barguelonne-en-Quercy,46,46285.0,Saint-Pantaléon,462632850C0298,462850000C0298,,,,,,,,,,,,0,,,,,L,landes,,,3960.0,1.301136,44.378967
2016-124402,2016-04-26,1,Vente,90000.0,9.0,,AV DE LA GROGNARDE,4272,13011.0,13211,Marseille 11e Arrondissement,13,,,132118660D0055,,,18.0,66.41,5.0,,,,,,,,2,2.0,Appartement,60.0,4.0,,,,,,5.435066,43.290268
2017-771201,2017-10-31,1,Vente,1102000.0,6.0,,ROUTE D AURAY,C162,56740.0,56116,Locmariaquer,56,,,56116000BE0360,,,,,,,,,,,,,0,1.0,Maison,172.0,6.0,S,sols,,,638.0,-2.946092,47.570645
2017-977351,2017-07-07,1,Vente,46000.0,5003.0,F,RUE GABRIEL JEANTON,0004,71700.0,71248,Lacrost,71,,,71248000AD0031,,,,,,,,,,,,,0,1.0,Maison,57.0,3.0,S,sols,,,154.0,4.929223,46.555794
2016-457597,2016-09-16,2,Vente,82560.0,5198.0,,LES GENETS,B044,36210.0,36229,Val-Fouzon,36,,,36229000ZI0087,,,,,,,,,,,,,0,1.0,Maison,107.0,4.0,S,sols,,,653.0,1.601506,47.227067
2017-709824,2017-05-31,1,Vente,30000.0,,,LA LANDE QUENON,B132,50210.0,50350,Montpinchon,50,,,503500000C0341,,,,,,,,,,,,,0,,,,,P,prés,,,4129.0,-1.304624,49.023322
2016-822848,2016-06-13,1,Vente,1.0,,,RUE DU MAS MATHIEU,0160,69250.0,69284,Montanay,69,,,69284000AC0214,,,,,,,,,,,,,0,,,,,P,prés,,,78.0,4.860386,45.881105
